"Category","Shortcut / Key","TTV+ Current Behavior","Industry Standard","Status","Impact","Notes & Recommendations"
"Media Player","L","Not implemented","Fast-forward 10 seconds","Missing","Medium","YouTube/widely adopted standard. Complements arrow key seeking."
"Media Player","Up / Down Arrow","To be audited","Volume up / down when player is focused","To Be Audited","High","YouTube and Netflix standard. Verify no conflict with grid arrow keys."
"Media Player","M (Mute)","Instantly mutes or unmutes the audio","Mute / unmute audio","Implemented","High","Essential for accessibility. Fully implemented."
"Media Player","F (Full Screen)","Toggles the video in and out of full-screen mode","Toggle full-screen mode","Implemented","Medium","Standard browser video shortcut. Matches expectation."
"Media Player","T (Theater mode)","Not implemented","Toggle theater / mini mode","Missing","Low","YouTube standard. Nice-to-have."
"Media Player","C (Captions)","Not implemented","Toggle Closed Captions on or off","Missing","High","Critical for WCAG 2.1 SC 1.2.2. High priority — affects deaf and hard-of-hearing users."
"Media Player","+ / - (Caption size)","Not implemented","Increase / decrease caption font size","Missing","Medium","WCAG 2.1 SC 1.4.4 – text must be resizable. Improves readability for low-vision users."
"Media Player","V or D (Described Video)","Not implemented","Toggle audio description for visually impaired users","Missing","High","Critical for WCAG 2.1 SC 1.2.5. High priority — affects blind and low-vision users."
"Media Player","0–9 (Number keys)","Not implemented","Jump to 0%–90% position in the video","Missing","Medium","YouTube/Netflix standard. Useful for power users and keyboard navigation."
"Media Player","Shift+, / Shift+.","Not implemented","Decrease / increase playback speed","Missing","Medium","YouTube standard. Important for users who need slower playback (cognitive accessibility)."
"Media Player","Shift+N / Shift+P","Not implemented","Next / previous video in playlist or queue","Missing","Medium","YouTube and Netflix standard."
"Media Player","Esc (Escape)","Not implemented / undocumented","Close open tooltips, Quick Info panels, or exit Full Screen","Missing","Medium","Expected escape-hatch behavior. Should close overlays and exit full-screen."
"Media Player","Tab (player controls)","To be audited","Move focus between player controls (play, volume, captions, full screen)","To Be Audited","Critical","WCAG 2.1 SC 2.1.1 – all player controls must be keyboard accessible"
"Contextual Menu","Context Menu key or Shift+F10","To be audited","Open contextual menu on the focused card (keyboard equivalent of right-click)","To Be Audited","Critical","WCAG 2.1 SC 2.1.1 – if right-click opens a menu, keyboard must too."
"Contextual Menu","Up / Down Arrow","To be audited","Navigate between menu items once the contextual menu is open","To Be Audited","High","ARIA menu pattern – arrow keys move between items, not Tab"
"Contextual Menu","Enter / Return","To be audited","Activate the focused menu item","To Be Audited","High","Standard ARIA menu activation pattern"
"Contextual Menu","Esc (Escape)","To be audited","Close the contextual menu and return focus to the card that triggered it","To Be Audited","High","ARIA menu pattern requirement – focus must return to trigger element"
"Contextual Menu","Tab (inside menu)","To be audited","Tab should NOT move between menu items – only arrow keys should","To Be Audited","Medium","ARIA menu pattern: Tab closes the menu and moves focus to next element outside the menu"
"Modals & Overlays","Esc (Escape)","To be audited","Close modal/dialog and return focus to trigger element","To Be Audited","High","ARIA dialog pattern requirement. Focus must return to element that opened the dialog."
"Modals & Overlays","Tab / Shift+Tab (focus trap)","To be audited","Focus must be trapped inside modal while it is open","To Be Audited","Critical","ARIA dialog pattern – focus must not escape to background content while modal is open"
"Modals & Overlays","Enter / Return","To be audited","Activate buttons within modal (Confirm, Cancel, etc.)","To Be Audited","High","Standard activation pattern"
"Account & Settings","Tab / Shift+Tab","To be audited","Navigate between all settings controls and form fields","To Be Audited","Critical","WCAG 2.1 SC 2.1.1"
"Account & Settings","Enter / Return","To be audited","Activate buttons and save changes","To Be Audited","High","Standard activation pattern"
"Account & Settings","Arrow keys","To be audited","Navigate radio buttons and select/dropdown options","To Be Audited","Medium","ARIA radio group pattern"
"Account & Settings","Spacebar","To be audited","Toggle checkboxes (e.g. notification preferences)","To Be Audited","High","Standard checkbox toggle"
